ES: 0    acc: 0.08273809523809524, 
ES: 10    acc: 0.8267195767195767, 
ES: 20    acc: 0.8193783068783068, 
ES: 30    acc: 0.8197751322751321, 
ES: 40    acc: 0.8246031746031747, 
ES: 50    acc: 0.8012566137566137, 
ES: 60    acc: 0.8332010582010583, 
ES: 70    acc: 0.8079365079365081, 
ES: 80    acc: 0.8353835978835977, 
ES: 90    acc: 0.8343253968253969, 
ES: 100    acc: 0.8277777777777778, 
ES: 110    acc: 0.8242724867724867, 
ES: 120    acc: 0.813558201058201, 
ES: 130    acc: 0.8071428571428572, 
ES: 140    acc: 0.8404100529100529, 
ES: 150    acc: 0.8178571428571431, 
ES: 160    acc: 0.8262566137566137, 
ES: 170    acc: 0.8156084656084657, 
ES: 180    acc: 0.8355820105820106, 
ES: 190    acc: 0.8346560846560847, 
ES: 200    acc: 0.7981481481481482, 
ES: 210    acc: 0.8341931216931219, 
ES: 220    acc: 0.8347222222222224, 
ES: 230    acc: 0.8389550264550266, 
ES: 240    acc: 0.8178571428571428, 
ES: 250    acc: 0.818452380952381, 
ES: 260    acc: 0.8300264550264551, 
ES: 270    acc: 0.8342592592592591, 
ES: 280    acc: 0.834126984126984, 
ES: 290    acc: 0.8182539682539682, 
ES: 300    acc: 0.8189814814814815, 
ES: 310    acc: 0.8512566137566138, 
ES: 320    acc: 0.8477513227513226, 
ES: 330    acc: 0.8535714285714284, 
ES: 340    acc: 0.8535052910052912, 
ES: 350    acc: 0.8523148148148149, 
ES: 360    acc: 0.8509920634920636, 
ES: 370    acc: 0.8455026455026454, 
ES: 380    acc: 0.8533068783068781, 
ES: 390    acc: 0.8518518518518517, 
ES: 400    acc: 0.8417328042328043, 
ES: 410    acc: 0.85515873015873, 
ES: 420    acc: 0.8474867724867725, 
ES: 430    acc: 0.8534391534391533, 
ES: 440    acc: 0.8497354497354497, 
ES: 450    acc: 0.8539682539682539, 
ES: 460    acc: 0.8501322751322752, 
ES: 470    acc: 0.8490079365079364, 
ES: 480    acc: 0.8531084656084655, 
ES: 490    acc: 0.8500661375661377, 
ES: 500    acc: 0.8502645502645503, 
ES: 510    acc: 0.8476851851851851, 
ES: 520    acc: 0.8513227513227513, 
ES: 530    acc: 0.849537037037037, 
ES: 540    acc: 0.851190476190476, 
ES: 550    acc: 0.8508597883597883, 
ES: 560    acc: 0.8533068783068783, 
ES: 570    acc: 0.8470238095238095, 
ES: 580    acc: 0.8407407407407408, 
ES: 590    acc: 0.8445105820105819, 
ES: 600    acc: 0.8540343915343914, 
ES: 610    acc: 0.8484788359788359, 
ES: 620    acc: 0.84755291005291, 
ES: 630    acc: 0.8515873015873014, 
ES: 640    acc: 0.8519841269841268, 
ES: 650    acc: 0.8480158730158729, 
ES: 660    acc: 0.8484788359788361, 
ES: 670    acc: 0.8429894179894181, 
ES: 680    acc: 0.8486772486772486, 
ES: 690    acc: 0.8467592592592592, 
ES: 700    acc: 0.8545634920634921, 
ES: 710    acc: 0.851190476190476, 
ES: 720    acc: 0.8469576719576718, 
ES: 730    acc: 0.8531746031746031, 
ES: 740    acc: 0.8448412698412697, 
ES: 750    acc: 0.8478174603174603, 
ES: 760    acc: 0.8490079365079366, 
ES: 770    acc: 0.8488756613756614, 
ES: 780    acc: 0.857010582010582, 
ES: 790    acc: 0.8437169312169311, 
ES: 800    acc: 0.8485449735449736, 
ES: 810    acc: 0.8485449735449736, 
ES: 820    acc: 0.8542328042328041, 
ES: 830    acc: 0.8558862433862433, 
ES: 840    acc: 0.8472222222222221, 
ES: 850    acc: 0.8470899470899471, 
ES: 860    acc: 0.8529100529100528, 
ES: 870    acc: 0.8478835978835979, 
ES: 880    acc: 0.8419973544973546, 
ES: 890    acc: 0.8456349206349207, 
ES: 900    acc: 0.8464285714285715, 
ES: 910    acc: 0.8533068783068783, 
ES: 920    acc: 0.8531746031746031, 
ES: 930    acc: 0.8402116402116402, 
ES: 940    acc: 0.8531746031746031, 
ES: 950    acc: 0.8471560846560846, 
ES: 960    acc: 0.8493386243386242, 
ES: 970    acc: 0.8502645502645502, 
ES: 980    acc: 0.8512566137566138, 
ES: 990    acc: 0.842195767195767, 
ES: 1000    acc: 0.8484788359788359, 
ES: 1010    acc: 0.8423280423280424, 
ES: 1020    acc: 0.8509920634920635, 
ES: 1030    acc: 0.8444444444444444, 
ES: 1040    acc: 0.8457010582010582, 
ES: 1050    acc: 0.852116402116402, 
ES: 1060    acc: 0.8488756613756614, 
ES: 1070    acc: 0.8388888888888889, 
ES: 1080    acc: 0.8520502645502646, 
ES: 1090    acc: 0.8540343915343916, 
ES: 1100    acc: 0.8512566137566138, 
ES: 1110    acc: 0.852116402116402, 
ES: 1120    acc: 0.8526455026455029, 
ES: 1130    acc: 0.8470899470899471, 
ES: 1140    acc: 0.8523809523809524, 
ES: 1150    acc: 0.8493386243386244, 
ES: 1160    acc: 0.84484126984127, 
ES: 1170    acc: 0.8460978835978837, 
ES: 1180    acc: 0.8541005291005291, 
ES: 1190    acc: 0.8486772486772487, 
ES: 1200    acc: 0.8408730158730158, 
ES: 1210    acc: 0.8466269841269842, 
ES: 1220    acc: 0.8390211640211639, 
ES: 1230    acc: 0.8507936507936508, 
ES: 1240    acc: 0.8476851851851851, 
ES: 1250    acc: 0.8535714285714284, 
ES: 1260    acc: 0.8470238095238095, 
