ES: 0    acc: 0.08525132275132276, 
ES: 10    acc: 0.8298941798941799, 
ES: 20    acc: 0.830621693121693, 
ES: 30    acc: 0.8251322751322752, 
ES: 40    acc: 0.8174603174603176, 
ES: 50    acc: 0.8401455026455025, 
ES: 60    acc: 0.8324074074074075, 
ES: 70    acc: 0.8205687830687831, 
ES: 80    acc: 0.8203703703703702, 
ES: 90    acc: 0.8106481481481481, 
ES: 100    acc: 0.7968253968253969, 
ES: 110    acc: 0.834920634920635, 
ES: 120    acc: 0.8271825396825397, 
ES: 130    acc: 0.8011243386243384, 
ES: 140    acc: 0.8219576719576718, 
ES: 150    acc: 0.8216269841269842, 
ES: 160    acc: 0.8375, 
ES: 170    acc: 0.8226190476190475, 
ES: 180    acc: 0.8083994708994708, 
ES: 190    acc: 0.8218915343915345, 
ES: 200    acc: 0.8236772486772488, 
ES: 210    acc: 0.8162037037037038, 
ES: 220    acc: 0.7999338624338624, 
ES: 230    acc: 0.8228174603174601, 
ES: 240    acc: 0.807804232804233, 
ES: 250    acc: 0.8259259259259262, 
ES: 260    acc: 0.8244708994708996, 
ES: 270    acc: 0.8402777777777777, 
ES: 280    acc: 0.8297619047619047, 
ES: 290    acc: 0.8195105820105819, 
ES: 300    acc: 0.8428571428571429, 
ES: 310    acc: 0.8316798941798942, 
ES: 320    acc: 0.8402777777777779, 
ES: 330    acc: 0.8486772486772486, 
ES: 340    acc: 0.8494708994708995, 
ES: 350    acc: 0.8463624338624338, 
ES: 360    acc: 0.8378306878306878, 
ES: 370    acc: 0.8441137566137566, 
ES: 380    acc: 0.8498677248677249, 
ES: 390    acc: 0.8501322751322752, 
ES: 400    acc: 0.8487433862433862, 
ES: 410    acc: 0.8520502645502646, 
ES: 420    acc: 0.8507275132275133, 
ES: 430    acc: 0.850925925925926, 
ES: 440    acc: 0.8506613756613757, 
ES: 450    acc: 0.8492724867724867, 
ES: 460    acc: 0.843584656084656, 
ES: 470    acc: 0.8402777777777777, 
ES: 480    acc: 0.8378306878306878, 
ES: 490    acc: 0.8489417989417989, 
ES: 500    acc: 0.8496693121693122, 
ES: 510    acc: 0.850330687830688, 
ES: 520    acc: 0.8542328042328042, 
ES: 530    acc: 0.8476851851851851, 
ES: 540    acc: 0.8487433862433862, 
ES: 550    acc: 0.8435185185185186, 
ES: 560    acc: 0.8417328042328043, 
ES: 570    acc: 0.8519179894179892, 
ES: 580    acc: 0.8523148148148149, 
ES: 590    acc: 0.8507275132275133, 
ES: 600    acc: 0.8389550264550263, 
ES: 610    acc: 0.8437169312169314, 
ES: 620    acc: 0.8511243386243386, 
ES: 630    acc: 0.8423941798941799, 
ES: 640    acc: 0.855026455026455, 
ES: 650    acc: 0.8539021164021164, 
ES: 660    acc: 0.843915343915344, 
ES: 670    acc: 0.8482142857142858, 
ES: 680    acc: 0.8507936507936507, 
ES: 690    acc: 0.8462962962962963, 
ES: 700    acc: 0.8553571428571427, 
ES: 710    acc: 0.8472222222222221, 
ES: 720    acc: 0.8523148148148147, 
ES: 730    acc: 0.8390211640211639, 
ES: 740    acc: 0.8357804232804232, 
ES: 750    acc: 0.8487433862433862, 
ES: 760    acc: 0.8503968253968253, 
ES: 770    acc: 0.8396164021164021, 
ES: 780    acc: 0.8434523809523811, 
ES: 790    acc: 0.8521825396825398, 
ES: 800    acc: 0.8521825396825398, 
ES: 810    acc: 0.8384920634920634, 
ES: 820    acc: 0.8517857142857143, 
ES: 830    acc: 0.8478835978835978, 
ES: 840    acc: 0.8529761904761906, 
ES: 850    acc: 0.8493386243386242, 
ES: 860    acc: 0.8485449735449736, 
ES: 870    acc: 0.8497354497354497, 
ES: 880    acc: 0.8527777777777779, 
ES: 890    acc: 0.8409391534391535, 
ES: 900    acc: 0.8510582010582011, 
ES: 910    acc: 0.8492724867724867, 
ES: 920    acc: 0.8522486772486773, 
ES: 930    acc: 0.8505952380952382, 
ES: 940    acc: 0.8463624338624338, 
ES: 950    acc: 0.8491402116402116, 
ES: 960    acc: 0.8477513227513228, 
ES: 970    acc: 0.8515873015873016, 
ES: 980    acc: 0.8492724867724867, 
ES: 990    acc: 0.8518518518518517, 
ES: 1000    acc: 0.8513888888888888, 
ES: 1010    acc: 0.8507275132275132, 
ES: 1020    acc: 0.8522486772486773, 
ES: 1030    acc: 0.8472222222222223, 
ES: 1040    acc: 0.8535052910052909, 
ES: 1050    acc: 0.8462301587301587, 
ES: 1060    acc: 0.846031746031746, 
ES: 1070    acc: 0.8476190476190476, 
ES: 1080    acc: 0.8527777777777776, 
ES: 1090    acc: 0.8492063492063492, 
ES: 1100    acc: 0.8519179894179894, 
ES: 1110    acc: 0.8500661375661375, 
ES: 1120    acc: 0.850595238095238, 
ES: 1130    acc: 0.8496693121693122, 
ES: 1140    acc: 0.8443783068783068, 
ES: 1150    acc: 0.8506613756613757, 
ES: 1160    acc: 0.8470238095238095, 
ES: 1170    acc: 0.8531084656084656, 
ES: 1180    acc: 0.8497354497354499, 
ES: 1190    acc: 0.8528439153439153, 
ES: 1200    acc: 0.8468915343915343, 
ES: 1210    acc: 0.8359126984126984, 
ES: 1220    acc: 0.8514550264550265, 
