ES: 1500    acc: 0.8474867724867725, 
ES: 1510    acc: 0.846957671957672, 
ES: 1520    acc: 0.8430555555555556, 
ES: 1530    acc: 0.8412037037037038, 
ES: 1540    acc: 0.8369047619047618, 
ES: 1550    acc: 0.8454365079365079, 
ES: 1560    acc: 0.849537037037037, 
ES: 1570    acc: 0.850595238095238, 
ES: 1580    acc: 0.851521164021164, 
ES: 1590    acc: 0.8535052910052912, 
ES: 1600    acc: 0.8511904761904763, 
ES: 1610    acc: 0.8491402116402117, 
ES: 1620    acc: 0.8492063492063492, 
ES: 1630    acc: 0.8523809523809524, 
ES: 1640    acc: 0.849867724867725, 
ES: 1650    acc: 0.8480158730158731, 
ES: 1660    acc: 0.8421296296296296, 
ES: 1670    acc: 0.8526455026455027, 
ES: 1680    acc: 0.8429232804232804, 
ES: 1690    acc: 0.8491402116402116, 
ES: 1700    acc: 0.8411375661375662, 
ES: 1710    acc: 0.8486772486772487, 
ES: 1720    acc: 0.8478174603174603, 
ES: 1730    acc: 0.851653439153439, 
ES: 1740    acc: 0.8467592592592592, 
ES: 1750    acc: 0.850925925925926, 
ES: 1760    acc: 0.8478835978835979, 
ES: 1770    acc: 0.8480820105820106, 
ES: 1780    acc: 0.8490079365079366, 
ES: 1790    acc: 0.8472883597883598, 
ES: 1800    acc: 0.841468253968254, 
ES: 1810    acc: 0.8450396825396826, 
ES: 1820    acc: 0.846494708994709, 
ES: 1830    acc: 0.8548280423280424, 
ES: 1840    acc: 0.8445105820105822, 
ES: 1850    acc: 0.8498015873015874, 
ES: 1860    acc: 0.8483465608465608, 
ES: 1870    acc: 0.8517195767195768, 
ES: 1880    acc: 0.8421957671957673, 
ES: 1890    acc: 0.8521825396825398, 
ES: 1900    acc: 0.8479497354497354, 
ES: 1910    acc: 0.850925925925926, 
ES: 1920    acc: 0.8452380952380952, 
ES: 1930    acc: 0.8492063492063492, 
ES: 1940    acc: 0.8456349206349207, 
ES: 1950    acc: 0.8488756613756614, 
ES: 1960    acc: 0.850925925925926, 
ES: 1970    acc: 0.8441137566137566, 
ES: 1980    acc: 0.8353835978835977, 
ES: 1990    acc: 0.8457671957671957, 
ES: 2000    acc: 0.840542328042328, 
ES: 2010    acc: 0.8452380952380952, 
ES: 2020    acc: 0.8537037037037039, 
ES: 2030    acc: 0.8529761904761906, 
ES: 2040    acc: 0.8376322751322751, 
ES: 2050    acc: 0.8486111111111111, 
ES: 2060    acc: 0.8488095238095237, 
ES: 2070    acc: 0.8478835978835979, 
ES: 2080    acc: 0.8404100529100529, 
ES: 2090    acc: 0.8476190476190476, 
ES: 2100    acc: 0.8457010582010582, 
ES: 2110    acc: 0.8452380952380952, 
ES: 2120    acc: 0.8492063492063492, 
ES: 2130    acc: 0.8449074074074074, 
ES: 2140    acc: 0.8398148148148147, 
ES: 2150    acc: 0.8438492063492063, 
ES: 2160    acc: 0.8464285714285713, 
ES: 2170    acc: 0.8515211640211641, 
ES: 2180    acc: 0.8518518518518519, 
ES: 2190    acc: 0.8462301587301587, 
ES: 2200    acc: 0.8476851851851853, 
ES: 2210    acc: 0.8473544973544973, 
ES: 2220    acc: 0.8456349206349205, 
ES: 2230    acc: 0.8309523809523809, 
ES: 2240    acc: 0.8497354497354497, 
ES: 2250    acc: 0.8484788359788359, 
ES: 2260    acc: 0.8517195767195765, 
ES: 2270    acc: 0.8512566137566138, 
ES: 2280    acc: 0.8527116402116401, 
ES: 2290    acc: 0.8527777777777779, 
ES: 2300    acc: 0.8419312169312171, 
ES: 2310    acc: 0.8535714285714284, 
ES: 2320    acc: 0.8521825396825398, 
ES: 2330    acc: 0.8507275132275133, 
ES: 2340    acc: 0.8363756613756614, 
ES: 2350    acc: 0.843584656084656, 
ES: 2360    acc: 0.8443121693121695, 
ES: 2370    acc: 0.8474867724867723, 
ES: 2380    acc: 0.8519841269841268, 
ES: 2390    acc: 0.8488756613756614, 
ES: 2400    acc: 0.8527777777777779, 
ES: 2410    acc: 0.8459656084656084, 
ES: 2420    acc: 0.8539021164021163, 
ES: 2430    acc: 0.845568783068783, 
ES: 2440    acc: 0.8520502645502646, 
ES: 2450    acc: 0.8497354497354497, 
ES: 2460    acc: 0.8386243386243386, 
ES: 2470    acc: 0.8493386243386244, 
ES: 2480    acc: 0.8499338624338625, 
ES: 2490    acc: 0.8453703703703704, 
ES: 2500    acc: 0.8529100529100531, 
ES: 2510    acc: 0.8518518518518519, 
ES: 2520    acc: 0.8422619047619048, 
ES: 2530    acc: 0.8515211640211641, 
ES: 2540    acc: 0.8503968253968252, 
ES: 2550    acc: 0.8511243386243386, 
ES: 2560    acc: 0.8517195767195768, 
ES: 2570    acc: 0.8529761904761906, 
ES: 2580    acc: 0.8447089947089946, 
ES: 2590    acc: 0.8516534391534393, 
ES: 2600    acc: 0.8477513227513226, 
ES: 2610    acc: 0.8511904761904763, 
ES: 2620    acc: 0.8478174603174604, 
ES: 2630    acc: 0.8339947089947091, 
ES: 2640    acc: 0.8514550264550265, 
ES: 2650    acc: 0.8516534391534393, 
ES: 2660    acc: 0.8437830687830686, 
ES: 2670    acc: 0.8488756613756614, 
ES: 2680    acc: 0.8533068783068783, 
ES: 2690    acc: 0.8482142857142858, 
ES: 2700    acc: 0.8439814814814814, 
ES: 2710    acc: 0.843121693121693, 
ES: 2720    acc: 0.8459656084656084, 
ES: 2730    acc: 0.8551587301587302, 
ES: 2740    acc: 0.8424603174603174, 
ES: 2750    acc: 0.8484788359788359, 
ES: 2760    acc: 0.8532407407407406, 
ES: 2770    acc: 0.8480820105820104, 
ES: 2780    acc: 0.8447751322751322, 
ES: 2790    acc: 0.8519179894179894, 
ES: 2800    acc: 0.8536375661375661, 
ES: 2810    acc: 0.8505291005291005, 
ES: 2820    acc: 0.8513227513227513, 
ES: 2830    acc: 0.8522486772486773, 
ES: 2840    acc: 0.850925925925926, 
ES: 2850    acc: 0.8432539682539684, 
ES: 2860    acc: 0.850462962962963, 
ES: 2870    acc: 0.8403439153439154, 
ES: 2880    acc: 0.8449735449735449, 
ES: 2890    acc: 0.8499338624338624, 
ES: 2900    acc: 0.849537037037037, 
ES: 2910    acc: 0.85, 
ES: 2920    acc: 0.8406084656084657, 
ES: 2930    acc: 0.8414021164021163, 
ES: 2940    acc: 0.8519841269841271, 
