ES: 0    acc: 0.07407407407407407,
ES: 10    acc: 0.6832671957671959,
ES: 20    acc: 0.7043650793650793,
ES: 30    acc: 0.7092592592592593,
ES: 40    acc: 0.6954365079365079,
ES: 50    acc: 0.7199074074074074,
ES: 60    acc: 0.7493386243386244,
ES: 70    acc: 0.6828042328042327,
ES: 80    acc: 0.7516534391534392,
ES: 90    acc: 0.7285714285714286,
ES: 100    acc: 0.6486772486772487,
ES: 110    acc: 0.7398148148148148,
ES: 120    acc: 0.684589947089947,
ES: 130    acc: 0.721494708994709,
ES: 140    acc: 0.7246031746031745,
ES: 150    acc: 0.7695105820105821,
ES: 160    acc: 0.7784391534391535,
ES: 170    acc: 0.7751984126984126,
ES: 180    acc: 0.7077380952380953,
ES: 190    acc: 0.7431216931216931,
ES: 200    acc: 0.8179232804232803,
ES: 210    acc: 0.7303571428571427,
ES: 220    acc: 0.7862433862433862,
ES: 230    acc: 0.7808862433862434,
ES: 240    acc: 0.8072751322751323,
ES: 250    acc: 0.7869708994708994,
ES: 260    acc: 0.7989417989417988,
ES: 270    acc: 0.7488095238095238,
ES: 280    acc: 0.7797619047619049,
ES: 290    acc: 0.7462962962962962,
ES: 300    acc: 0.7830026455026455,
ES: 310    acc: 0.8523809523809524,
ES: 320    acc: 0.8501984126984127,
ES: 330    acc: 0.8509920634920636,
ES: 340    acc: 0.8456349206349205,
ES: 350    acc: 0.8514550264550265,
ES: 360    acc: 0.853042328042328,
ES: 370    acc: 0.853042328042328,
ES: 380    acc: 0.8511243386243385,
ES: 390    acc: 0.8492724867724867,
ES: 400    acc: 0.8491402116402117,
ES: 410    acc: 0.8472222222222221,
ES: 420    acc: 0.8449735449735449,
ES: 430    acc: 0.8360449735449734,
ES: 440    acc: 0.8538359788359788,
ES: 450    acc: 0.8501984126984128,
ES: 460    acc: 0.8414021164021165,
ES: 470    acc: 0.8531084656084656,
ES: 480    acc: 0.8531084656084656,
ES: 490    acc: 0.8531084656084655,
ES: 500    acc: 0.8475529100529101,
ES: 510    acc: 0.8412037037037037,
ES: 520    acc: 0.8428571428571429,
ES: 530    acc: 0.8468915343915345,
