ES: 0    acc: 0.08287037037037037,
ES: 10    acc: 0.7222883597883598,
ES: 20    acc: 0.6770502645502645,
ES: 30    acc: 0.6810185185185185,
ES: 40    acc: 0.715542328042328,
ES: 50    acc: 0.7036375661375662,
ES: 60    acc: 0.6994047619047619,
ES: 70    acc: 0.7106481481481483,
ES: 80    acc: 0.7361772486772487,
ES: 90    acc: 0.798148148148148,
ES: 100    acc: 0.7697751322751323,
ES: 110    acc: 0.7923280423280423,
ES: 120    acc: 0.7671296296296297,
ES: 130    acc: 0.7998015873015873,
ES: 140    acc: 0.7666666666666666,
ES: 150    acc: 0.7594576719576719,
ES: 160    acc: 0.7872354497354497,
ES: 170    acc: 0.8031746031746032,
ES: 180    acc: 0.7132936507936509,
ES: 190    acc: 0.7658068783068782,
ES: 200    acc: 0.7704365079365079,
ES: 210    acc: 0.7254629629629631,
ES: 220    acc: 0.776521164021164,
ES: 230    acc: 0.7551587301587301,
ES: 240    acc: 0.7611111111111112,
ES: 250    acc: 0.7535714285714286,
ES: 260    acc: 0.7753306878306878,
ES: 270    acc: 0.8255952380952382,
ES: 280    acc: 0.7341931216931218,
ES: 290    acc: 0.8044312169312169,
ES: 300    acc: 0.816931216931217,
ES: 310    acc: 0.8418650793650793,
ES: 320    acc: 0.8543650793650792,
ES: 330    acc: 0.849537037037037,
ES: 340    acc: 0.8470899470899471,
ES: 350    acc: 0.8407407407407408,
ES: 360    acc: 0.8514550264550265,
ES: 370    acc: 0.8536375661375661,
ES: 380    acc: 0.8427248677248678,
ES: 390    acc: 0.8505291005291005,
ES: 400    acc: 0.8276455026455025,
ES: 410    acc: 0.8403439153439154,
ES: 420    acc: 0.8500661375661377,
ES: 430    acc: 0.8539682539682538,
ES: 440    acc: 0.8520502645502646,
ES: 450    acc: 0.8473544973544973,
ES: 460    acc: 0.8531746031746031,
ES: 470    acc: 0.8515211640211641,
ES: 480    acc: 0.8517195767195765,
ES: 490    acc: 0.8113095238095237,
ES: 500    acc: 0.5896164021164021,
ES: 510    acc: 0.7289021164021164,
ES: 520    acc: 0.8193121693121694,
ES: 530    acc: 0.8426587301587303,
ES: 540    acc: 0.8491402116402116,
ES: 550    acc: 0.8519841269841271,
ES: 560    acc: 0.8347883597883599,
ES: 570    acc: 0.8489417989417989,
ES: 580    acc: 0.8500661375661377,
ES: 590    acc: 0.8468915343915343,
ES: 600    acc: 0.8406746031746032,
ES: 610    acc: 0.846031746031746,
ES: 620    acc: 0.8458333333333334,
ES: 630    acc: 0.8492724867724869,
ES: 640    acc: 0.8441798941798941,
ES: 650    acc: 0.8521825396825398,
ES: 660    acc: 0.850330687830688,
ES: 670    acc: 0.846031746031746,
ES: 680    acc: 0.8502645502645503,
ES: 690    acc: 0.8430555555555556,
ES: 700    acc: 0.8450396825396826,
ES: 710    acc: 0.773478835978836,
ES: 720    acc: 0.7158068783068783,
ES: 730    acc: 0.8224867724867725,
ES: 740    acc: 0.8387566137566138,
ES: 750    acc: 0.8510582010582011,
ES: 760    acc: 0.8392857142857142,
ES: 770    acc: 0.842195767195767,
ES: 780    acc: 0.8541666666666666,
ES: 790    acc: 0.8409391534391535,
ES: 800    acc: 0.8494708994708995,
ES: 810    acc: 0.8388227513227513,
ES: 820    acc: 0.8466269841269842,
ES: 830    acc: 0.8506613756613757,
ES: 840    acc: 0.8294973544973544,
ES: 850    acc: 0.8476190476190476,
ES: 860    acc: 0.8457010582010582,
ES: 870    acc: 0.8505952380952382,
ES: 880    acc: 0.8531746031746031,
ES: 890    acc: 0.8503306878306878,
ES: 900    acc: 0.8464947089947088,
ES: 910    acc: 0.8502645502645503,
ES: 920    acc: 0.8514550264550265,
ES: 930    acc: 0.8260582010582012,
ES: 940    acc: 0.8021825396825395,
ES: 950    acc: 0.8320767195767196,
ES: 960    acc: 0.8371031746031747,
ES: 970    acc: 0.8519841269841268,
ES: 980    acc: 0.8419973544973545,
ES: 990    acc: 0.8526455026455027,
ES: 1000    acc: 0.8529761904761903,
ES: 1010    acc: 0.8488756613756614,
ES: 1020    acc: 0.8394179894179896,
ES: 1030    acc: 0.8532407407407406,
ES: 1040    acc: 0.8508597883597883,
ES: 1050    acc: 0.8457010582010582,
ES: 1060    acc: 0.8487433862433862,
ES: 1070    acc: 0.851653439153439,
ES: 1080    acc: 0.8531746031746031,
ES: 1090    acc: 0.8417328042328043,
ES: 1100    acc: 0.8531084656084655,
